,skills_clean,education,experience_years,job_role
5494,"('scrum', 'data analysis', 'business acumen', 'power bi', 'coaching', 'nosql', 'leadership', 'employee relations', 'django', 'firewalls', 'strategic hr')",Bachelor's in HR,6,HR Business Partner
5495,"('scalability', 'nosql', 'cassandra', 'performance', 'python', 'distributed systems', 'cql', 'sales')",Bachelor's in Computer Science,4,Cassandra Developer
5496,"('pandas', 'attention to detail', 'pharmacy knowledge', 'communication', 'strategic planning', 'risk assessment', 'accuracy', 'drug interactions', 'patient counseling')",Doctor of Pharmacy,0,Pharmacist
5497,"('power bi', 'technical knowledge', 'presentation skills', 'python', 'equipment design', 'problem solving', 'mobile ui/ux', 'analysis', 'sustainability', 'agricultural systems', 'adaptability')",Bachelor's in Agricultural Engineering,5,Agricultural Engineer
5498,"('microservices', 'food safety', 'time management', 'baking', 'problem solving', 'vue.js', 'creativity', 'precision', 'decoration')",Pastry Specialization,3,Pastry Chef
5499,"('leadership', 'network security', 'budget control', 'decision making', 'angular', 'css', 'strategic planning', 'communication', 'department management', 'problem solving', 'database design')",Bachelor's in Business,8,Director
5500,"('leadership', 'surveillance', 'security', 'serverless', 'investigation', 'communication', 'jira', 'problem solving', 'figma', 'postgresql')",Security Training,2,Loss Prevention Manager
5501,"('financial management', 'leadership', 'communication', 'cloudformation', 'staff management', 'scala', 'negotiation', 'restaurant management', 'customer service', 'php')",Management Experience,4,Restaurant Manager
5502,"('creativity', 'leadership', 'food safety', 'kitchen management', 'culinary skills', 'negotiation', 'training', 'flutter', 'docker')",Culinary School,5,Sous Chef
5503,"('executive management', 'vision', 'gcp', 'strategic leadership', 'business acumen', 'decision making', 'problem solving', 'communication')",MBA,9,Chief Executive Officer
5504,"('attention to detail', 'branding', 'visual communication', 'oracle', 'c#', 'design software', 'adobe creative suite', 'php', 'creativity', 'flask', 'business development')",Design Certification,4,Graphic Designer
5505,"('microservices', 'ios', 'r', 'jenkins', 'java', 'deep learning', 'docker', 'rest api', 'sql', 'maven', 'spring boot')",Bachelor's in Computer Science,4,Java Backend Developer
5506,"('oracle', 'sales', 'networking', 'negotiation', 'business development strategy', 'scikit-learn', 'project management', 'mobile security', 'communication', 'market analysis')",Bachelor's in Business,3,Business Development Manager
5507,"('client service', 'creativity', 'prototyping', 'lighting', 'photography', 'statistics', 'editing software', 'composition')",Associate in Photography,2,Photographer
5508,"('presentation skills', 'etl', 'business development', 'informatica', 'sql', 'performance tuning', 'data quality', 'data integration', 'aws', 'leadership', 'scala')",Bachelor's in IT,4,Informatica Developer
5509,"('communication', 'environmental knowledge', 'outdoor skills', 'business acumen', 'public safety', 'database design', 'conservation', 'problem solving')",Bachelor's in Environmental Science,2,Park Ranger
5510,"('shopify', 'javascript', 'problem solving', 'liquid', 'e-commerce', 'java', 'p&l management', 'pytorch', 'api integration')",Bachelor's in Computer Science,0,Shopify Developer
5511,"('animation software', 'storytelling', 'drawing', 'creativity', 'technical skills', 'timing', 'adaptability', 'jenkins')",Bachelor's in Animation,3,Animator
5512,"('typing', 'organization', 'teamwork', 'time management', 'adobe creative suite', 'software skills', 'rest api', 'communication', 'administrative skills', 'database design')",Administrative Certification,0,Administrative Assistant
5513,"('vue.js', 'scala', 'cassandra', 'looker', 'critical thinking', 'sql', 'data visualization', 'analytics', 'lookml', 'teamwork', 'dashboard development')",Bachelor's in IT,3,Looker Developer
5514,"('business acumen', 'data analysis', 'precision', 'microbiology', 'communication', 'problem solving', 'research', 'postgresql', 'redis', 'mysql', 'laboratory work')",Master's in Microbiology,2,Microbiologist
5515,"('shell scripting', 'type system', 'haskell', 'lambda calculus', 'communication', 'problem solving', 'concurrency', 'functional programming')",Bachelor's in Computer Science,4,Haskell Developer
5516,"('oracle', 'account management', 'technical knowledge', 'communication', 'tensorflow', 'problem solving', 'encryption', 'product knowledge', 'client relations')",Bachelor's in Computer Science,4,Technical Account Manager
5517,"('circuit design', 'agile', 'mobile security', 'user experience', 'power systems', 'cad', 'troubleshooting', 'technical knowledge', 'electrical systems')",Bachelor's in Electrical Engineering,2,Electrical Engineer
5518,"('unreal engine', 'network security', 'c#', 'ar/vr platforms', 'go', 'problem solving', '3d graphics', 'business development', 'wireframing', 'sales', 'unity')",Specialized Training,3,AR/VR Developer
5519,"('field work', 'communication', 'problem solving', 'research', 'plant science', 'p&l management', 'data analysis', 'penetration testing')",Bachelor's in Botany,3,Botanist
5520,"('ruby', 'audio editing', 'java', 'video editing software', 'compliance', 'color grading', 'storytelling', 'teamwork', 'creativity', 'attention to detail')",Certification,4,Video Editor
5521,"('customer service', 'postgresql', 'communication', 'adobe creative suite', 'safety', 'time management', 'organization', 'network security', 'driving')",Driver's License,2,Delivery Driver
5522,"('query optimization', 'cryptocurrency', 'kanban', 'problem solving', 'solidity', 'smart contracts', 'critical thinking', 'serverless', 'python', 'blockchain technology', 'agile')",Blockchain Certification,3,Blockchain Developer
5523,"('risk analysis', 'p&l management', 'firewalls', 'user interface', 'networking', 'security protocols', 'go', 'penetration testing', 'encryption')",Security Certification,4,Cybersecurity Specialist
5524,"('policy knowledge', 'confluence', 'public administration', 'web design', 'scikit-learn', 'critical thinking', 'communication', 'budget management', 'strategic planning', 'security architecture', 'leadership')",Master's in Public Administration,1,Public Administrator
5525,"('composition', 'creativity', 'web accessibility', 'client service', 'editing software', 'documentation', 'redis', 'photography', 'lighting')",Associate in Photography,2,Photographer
5526,"('budget control', 'compliance', 'strategic planning', 'azure', 'mobile ui/ux', 'healthcare management', 'communication', 'leadership')",Master's in Healthcare Administration,5,Healthcare Administrator
5527,"('web accessibility', 'leadership', 'communication', 'php', 'deep learning', 'administrative skills', 'mysql', 'time management', 'typing', 'software skills', 'organization')",High School,0,Administrative Assistant
5528,"('query optimization', 'node.js', 'html/css', 'symfony', 'gcp', 'mysql', 'java', 'microservices', 'api development', 'php', 'laravel')",Bachelor's in Computer Science,0,PHP Developer
5529,"('java', 'docker', 'prototyping', 'database', 'kubernetes', 'javascript', 'react', 'git', 'node.js', 'app testing', 'html/css')",Diploma in IT,1,Full Stack Developer
5530,"('decision making', 'organization', 'communication', 'grant writing', 'compliance', 'research', 'problem solving', 'fundraising knowledge', 'scala', 'postgresql')",Bachelor's in Writing,1,Grant Writer
5531,"('kubernetes', 'postgresql', 'mongodb', 'problem solving', 'cost management', 'fleet management', 'critical thinking', 'leadership', 'jira', 'maintenance', 'safety')",High School,2,Fleet Manager
5532,"('equipment operation', 'safety', 'java', 'troubleshooting', 'wireframing', 'technical knowledge', 'creativity', 'broadcasting', 'attention to detail')",Associate in Broadcast Technology,1,Broadcast Technician
5533,"('selenium', 'manual testing', 'sql', 'java', 'vue.js', 'test automation', 'encryption', 'rest api', 'bug tracking', 'jenkins', 'api testing')",Bachelor's in IT,1,QA Engineer
5534,"('figma', 'ui principles', 'prototyping tools', 'teamwork', 'database design', 'technical writing', 'visual design', 'design systems', 'java', 'creativity')",UI Certification,4,UI Designer
5535,"('data analysis', 'redis', 'process analysis', 'change management', 'six sigma', 'leadership', 'sales', 'time management', 'lean manufacturing')",Bachelor's in Business,2,Process Improvement Manager
5536,"('data quality', 'talend', 'penetration testing', 'data integration', 'c#', 'sql', 'java', 'prototyping', 'etl')",Bachelor's in IT,3,Talend Developer
5537,"('kanban', 'communication', 'technical skills', 'content creation', 'video production', 'go', 'mobile ui/ux', 'creativity', 'social media', 'adobe creative suite')",Digital Media Skills,1,Content Creator
5538,"('problem solving', 'css', 'flask', 'node.js', 'analysis', 'attention to detail', 'react native', 'writing', 'legal research', 'communication')",Juris Doctor,3,Law Clerk
5539,"('linux', 'shell scripting', 'problem solving', 'bash', 'adaptability', 'automation', 'statistics', 'r', 'penetration testing', 'system administration', 'sales')",Bachelor's in Computer Science,0,Shell Script Developer
5540,"('sales', 'technical writing', 'property knowledge', 'communication', 'mobile ui/ux', 'customer service', 'statistics', 'marketing', 'negotiation')",High School,2,Real Estate Agent
5541,"('django', 'networking', 'interviewing', 'recruitment', 'scikit-learn', 'html', 'ats systems', 'communication', 'job posting', 'mentoring', 'adaptability')",Bachelor's in HR,0,Talent Acquisition Specialist
5542,"('figma', 'adaptability', 'ui principles', 'design systems', 'prototyping tools', 'visual design', 'node.js', 'creativity')",Bachelor's in Design,1,UI Designer
5543,"('agile', 'decision making', 'business acumen', 'kubernetes', 'tensorflow', 'leadership', 'communication', 'backlog management', 'product strategy')",Bachelor's in Business,2,Product Owner
5544,"('graphql', 'c++', 'ci/cd', 'unity', 'azure', 'game physics', 'unreal engine', 'c#', 'graphics programming')",Bachelor's in Game Development,1,Game Developer
5545,"('market strategy', 'brand vision', 'executive communication', 'team leadership', 'mysql', 'p&l management', 'scrum', 'strategic leadership')",MBA,12,Chief Marketing Officer
5546,"('marketing', 'financial management', 'flask', 'sports management', 'communication', 'problem solving', 'deep learning', 'leadership', 'go')",Bachelor's in Sports Management,4,Sports Manager
5547,"('market knowledge', 'communication', 'analysis', 'mobile security', 'scrum', 'strategic thinking', 'rust', 'leadership', 'documentation', 'problem solving', 'azure')",Master's in Strategy,6,Strategy Consultant
5548,"('equipment operation', 'attention to detail', 'communication', 'safety', 'decision making', 'precision', 'mobile security', 'problem solving')",High School,4,Heavy Equipment Operator
5549,"('numpy', 'time management', 'distributed systems', 'scalability', 'kanban', 'java', 'graphic design', 'cql', 'cassandra', 'nosql', 'performance')",Bachelor's in Computer Science,1,Cassandra Developer
5550,"('stakeholder communication', 'ci/cd', 'process improvement', 'marketing', 'aws', 'sql', 'excel', 'documentation', 'requirements gathering', 'react')",Bachelor's in Computer Science,5,Business Analyst
5551,"('sustainability strategy', 'rest api', 'react native', 'redis', 'environmental knowledge', 'communication', 'business acumen', 'problem solving', 'analysis', 'risk assessment')",Bachelor's in Environmental Science,4,Sustainability Consultant
5552,"('calculations', 'building codes', 'p&l management', 'materials', 'ci/cd', 'design', 'pytorch', 'cad', 'structural analysis')",Bachelor's in Civil Engineering,6,Structural Engineer
